"SIDNUM"	"ORDER"	"FAMILY"	"GENUS"	"SPECIES"	"SUBCLASSORSUPERORDER"	"SUBORDERORSUPERFAMILY"	"SUBFAMILY"	"UNIQUE"	"TAXON_STATUS"	"ID_STATUS"	"ADD_INFO"	"SOURCE_NAME"	"LS_MICROWEAR"	"LS_MESOWEAR"	"LS_MESOWEAR_SCORE"	"LS_MW_OR_HIGH"	"LS_MW_OR_LOW"	"LS_MW_CS_SHARP"	"LS_MW_CS_ROUND"	"LS_MW_CS_BLUNT"	"SVLENGTH"	"BODYMASS"	"SXDIMSZE"	"SXDIMDIS"	"TSHM"	"TCRWNHT"	"HORIZODONTY"	"CROWNTYP"	"CUSP_SHAPE"	"CUSP_COUNT_BUCCAL"	"CUSP_COUNT_LINGUAL"	"LOPH_COUNT_LON"	"LOPH_COUNT_TRS"	"FCT_AL"	"FCT_OL"	"FCT_SF"	"FCT_OT"	"FCT_CM"	"MICROWEAR"	"MESOWEAR"	"MESOWEAR_SCORE"	"MW_OR_HIGH"	"MW_OR_LOW"	"MW_CS_SHARP"	"MW_CS_ROUND"	"MW_CS_BLUNT"	"DIET_1"	"DIET_2"	"DIET_3"	"LOCOMO1"	"LOCOMO2"	"LOCOMO3"	"SPCOMMENT"	"SYNONYMS"
"1"	24548	"Artiodactyla"	"Cainotheriidae"	"Microtherium"	"renggeri"	"Eutheria"	"\N"	"\N"	"-"	"taxonomic validity uncertain"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"10cm-1m"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"S2300"	"S"	"2"	"3"	"0"	"0"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"
"12"	21623	"Proboscidea"	"Deinotheriidae"	"Deinotherium"	"giganteum"	"Eutheria"	"\N"	"\N"	"-"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	">5m"	"11240000"	"\N"	"\N"	"bil"	"bra"	"\N"	"L2202"	"L"	"2"	"2"	"0"	"2"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"p"	"herbivore"	"browse"	"te"	"surficial"	"graviportal"	"\N"	"\N"
"13"	20577	"Rodentia"	"Muridae"	"Democricetodon"	"brevis"	"Eutheria"	"\N"	"Copemyinae"	"-"	"\N"	"\N"	"cf."	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"24"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"p"	"herbivore"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"
"14"	20673	"Rodentia"	"Muridae"	"Megacricetodon"	"minor"	"Eutheria"	"\N"	"Megacricetodontinae"	"-"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"11"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"p"	"herbivore"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"
"15"	20844	"Rodentia"	"Sciuridae"	"Spermophilinus"	"bredai"	"Eutheria"	"\N"	"\N"	"-"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"116"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"p"	"herbivore"	"\N"	"\N"	"\N"	"\N"	"\N"	"Csakvaromys bredai Could you make Csakvaromys a junior synonym of Spermophilinus? There still is a little issue there: but everybody agrees they are the same: and we actually already use Spermophilinus in the NOW."
"16"	21047	"Rodentia"	"Muridae"	"Eumyarion"	"leemanni"	"Eutheria"	"\N"	"Eumyarioninae"	"-"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"p"	"herbivore"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"
"17"	23690	"Rodentia"	"Sciuridae"	"Heteroxerus"	"rubricati"	"Eutheria"	"\N"	"\N"	"-"	"informal species"	"\N"	"\N"	"Heteroxerus rubricati cf. rubricati * from merge"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"p"	"herbivore"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"
"18"	24555	"Rodentia"	"Pteromyidae"	"Miopetaurista"	"neogrivensis"	"Eutheria"	"\N"	"\N"	"-"	"\N"	"\N"	"cf."	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"
"19"	24593	"Rodentia"	"Gliridae"	"Muscardinus"	"thaleri"	"Eutheria"	"\N"	"\N"	"-"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"p"	"herbivore"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"
"20"	24675	"Rodentia"	"Muridae"	"Democricetodon"	"larteti"	"Eutheria"	"\N"	"Copemyinae"	"-"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"51"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"	"p"	"herbivore"	"\N"	"\N"	"\N"	"\N"	"\N"	"\N"
